delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delayed,delivery_status,delivery_rating,delivery_cost,delay_hours,delayed_flag,expected_time_hours,actual_time_hours
250.99,delhivery,automobile parts,bike,same day,west,clear,297.0,46.96,no,delivered,3.0,1632.7206,0.14901424590336987,0,7.425,7.57401424590337
250.99,xpressbees,cosmetics,ev van,express,central,cold,89.6,47.39,no,delivered,5.0,640.17,0.214520709648645,0,3.1999999999999997,3.4145207096486447
250.99,shadowfax,groceries,truck,two day,east,rainy,273.5,26.89,no,delivered,4.0,1448.17,2.163506561430207,1,10.94,13.103506561430207
250.99,dhl,electronics,ev van,same day,east,cold,269.7,12.69,no,delivered,3.0,1486.57,1.2274803854938376,1,9.632142857142856,10.859623242636694
250.99,dhl,clothing,van,two day,north,foggy,256.7,37.02,no,delivered,4.0,1394.56,0.9565539875830016,1,8.556666666666667,9.513220654249668
250.99,amazon logistics,documents,ev bike,express,west,rainy,48.4,33.15,yes,delayed,3.0,391.45,0.15902207080998276,0,1.2736842105263158,1.4327062813362985
250.99,delhivery,groceries,scooter,same day,central,clear,198.3,43.79,no,delivered,3.0,1222.87,0.47376384465221744,0,5.665714285714286,6.139478130366504
250.99,xpressbees,fragile items,van,same day,north,cold,114.6,42.63,no,delivered,3.0,800.89,0.5358304187458729,1,3.82,4.355830418745873
250.99,blue dart,clothing,van,same day,south,hot,142.4,14.06,no,delivered,5.0,854.18,0.09649101755284839,0,4.746666666666667,4.843157684219515
250.99,delhivery,pharmacy,truck,same day,east,foggy,47.1,29.28,no,delivered,5.0,423.34,0.38884801307578987,0,1.8840000000000001,2.27284801307579
250.99,fedex,groceries,scooter,same day,east,cold,293.2,22.05,no,delivered,4.0,1632.15,0.5311461207276906,1,8.377142857142857,8.908288977870548
250.99,ecom express,electronics,truck,two day,east,cold,80.4,46.48,no,delivered,5.0,541.44,0.11756107392892323,0,3.216,3.3335610739289234
250.99,xpressbees,pharmacy,ev van,two day,north,rainy,257.7,20.56,no,delivered,4.0,1350.18,1.729231538612666,1,9.203571428571427,10.932802967184093
250.99,xpressbees,cosmetics,bike,express,east,stormy,19.0,3.36,yes,failed,1.0,155.08,-0.4314840733973394,0,0.475,0.04351592660266057
250.99,xpressbees,automobile parts,ev bike,two day,east,stormy,237.9,24.59,no,delivered,3.0,1263.27,1.3606825449829323,1,6.260526315789474,7.6212088607724064
250.99,amazon logistics,furniture,ev van,express,north,hot,239.3,11.67,yes,delayed,3.0,1281.51,0.2586351697991365,0,8.546428571428573,8.805063741227709
250.99,fedex,documents,bike,standard,west,stormy,79.0,0.73,no,delivered,5.0,397.19,0.2886506638996731,0,1.975,2.263650663899673
250.99,blue dart,fragile items,ev bike,standard,central,rainy,170.7,45.62,no,delivered,5.0,990.36,0.9028531471470034,1,4.492105263157894,5.3949584103048975
250.99,amazon logistics,documents,van,same day,north,rainy,90.0,33.7,no,delivered,3.0,651.1,0.2675927773436366,0,3.0,3.2675927773436366
250.99,fedex,cosmetics,truck,express,north,rainy,64.0,6.03,yes,failed,2.0,388.09,0.037108889599412276,0,2.56,2.5971088895994123
250.99,fedex,automobile parts,scooter,two day,east,foggy,185.9,19.1,no,delivered,4.0,986.8,1.077066059247895,1,5.311428571428571,6.388494630676466
250.99,dhl,electronics,scooter,two day,west,stormy,217.9,14.08,no,delivered,4.0,1131.74,1.7999813955683255,1,6.225714285714286,8.025695681282611
250.99,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,no,delivered,5.0,1293.05,0.5096298899778064,1,6.1171428571428565,6.626772747120663
250.99,ecom express,clothing,bike,standard,central,clear,251.7,34.9,no,delivered,4.0,1363.2,-0.42742445586403743,0,6.2924999999999995,5.865075544135962
250.99,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,no,delivered,5.0,1091.51,0.6962851826424465,1,7.163333333333333,7.85961851597578
250.99,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,no,delivered,4.0,578.59,1.2697053483415317,1,4.121428571428572,5.391133919770104
250.99,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,yes,delayed,3.0,1632.7206,0.5824914004575215,1,7.731578947368422,8.314070347825943
250.99,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,no,delivered,3.0,1574.01,0.11270940550370234,0,8.194285714285714,8.306995119789416
250.99,fedex,furniture,truck,express,south,hot,136.1,48.1,no,delivered,5.0,874.8,0.09200839302435959,0,5.444,5.5360083930243595
250.99,dhl,furniture,bike,two day,east,rainy,291.4,6.12,no,delivered,5.0,1475.36,1.223791875062017,1,7.284999999999999,8.508791875062016
250.99,fedex,furniture,bike,standard,south,hot,295.0,19.68,no,delivered,5.0,1534.04,0.18823801633118098,0,7.375,7.563238016331181
250.99,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,yes,failed,1.0,1235.37,2.163443455352681,1,8.932,11.095443455352681
250.99,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,yes,failed,1.0,1402.69,0.34237940400719147,0,6.928571428571429,7.27095083257862
250.99,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,no,delivered,5.0,243.66,-0.15105012079203328,0,0.9236842105263158,0.7726340897342825
250.99,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,yes,delayed,2.0,595.53,0.8602634736309569,1,2.045,2.905263473630957
250.99,delhivery,documents,bike,same day,east,clear,37.6,22.81,no,delivered,4.0,356.43,-0.36625309499130665,0,0.9400000000000001,0.5737469050086934
250.99,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,yes,delayed,2.0,298.16,0.2843432890277424,0,1.2315789473684209,1.5159222363961633
250.99,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,no,delivered,5.0,1321.0,-0.2544724657353612,0,6.668571428571429,6.414098962836068
250.99,ekart,documents,bike,standard,east,rainy,62.2,48.58,no,delivered,3.0,456.74,-0.11855581466952914,0,1.5550000000000002,1.436444185330471
250.99,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,no,delivered,4.0,701.55,0.4190583707607374,0,3.0,3.4190583707607374
250.99,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,no,delivered,5.0,834.87,0.6368031318933602,1,3.460526315789474,4.097329447682834
250.99,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,yes,delayed,3.0,206.74,0.1889819129284197,0,0.7642857142857142,0.9532676272141339
250.99,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,no,delivered,5.0,1317.61,3.067305515283529,1,10.34,13.407305515283529
250.99,dhl,furniture,van,two day,east,rainy,253.9,7.07,no,delivered,3.0,1290.71,1.4330688913232112,1,8.463333333333333,9.896402224656544
250.99,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,no,delivered,4.0,157.38,-0.39066186026812294,0,0.1763157894736842,-0.21434607079443874
250.99,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,no,delivered,4.0,970.6,0.018388842744745837,0,4.686842105263158,4.7052309480079035
250.99,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,no,delivered,3.0,1005.12,0.22180836871206377,0,7.2,7.421808368712064
250.99,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,no,delivered,4.0,984.38,1.2834795250085316,1,5.368571428571428,6.65205095357996
250.99,xpressbees,documents,ev van,express,west,hot,78.3,49.22,yes,failed,1.0,589.16,0.24290691544196674,0,2.7964285714285713,3.039335486870538
250.99,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,no,delivered,4.0,378.35,-0.46101730976671496,0,1.3578947368421053,0.8968774270753903
250.99,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,no,delivered,5.0,324.08,0.38543947653272426,0,0.9607142857142856,1.3461537622470099
250.99,blue dart,clothing,truck,express,north,hot,216.7,26.89,yes,delayed,2.0,1214.17,0.3178753158751064,0,8.668,8.985875315875106
250.99,dhl,electronics,van,standard,south,foggy,148.2,38.6,no,delivered,4.0,856.8,0.38972339990821325,0,4.9399999999999995,5.329723399908213
250.99,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,no,delivered,4.0,1161.37,0.18350288665226078,0,6.578571428571428,6.762074315223689
250.99,fedex,groceries,truck,same day,east,stormy,167.7,42.4,no,delivered,5.0,1065.7,2.3216998567487854,1,6.707999999999999,9.029699856748785
250.99,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,no,delivered,5.0,1066.02,0.6955945620506494,1,5.2026315789473685,5.898226140998018
250.99,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,no,delivered,5.0,1200.32,0.6563776001760662,1,7.567857142857143,8.22423474303321
250.99,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,no,delivered,5.0,484.65,0.45837914438749316,0,1.837142857142857,2.29552200153035
250.99,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,no,delivered,4.0,1045.11,0.39466474370678384,0,5.905714285714286,6.3003790294210695
250.99,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,no,delivered,5.0,437.93,0.459663538136708,0,2.0875,2.547163538136708
250.99,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,no,delivered,5.0,289.36,-0.09911227135358691,0,0.37200000000000005,0.27288772864641314
250.99,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,no,delivered,3.0,1370.53,1.1090917806850644,1,6.471052631578948,7.580144412264012
250.99,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,yes,delayed,2.0,1315.6,2.0863137935124776,1,8.060714285714285,10.147028079226763
250.99,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,yes,delayed,2.0,1292.86,-0.07636198722420051,0,5.65,5.5736380127758
250.99,dhl,clothing,bike,two day,west,hot,113.3,34.03,no,delivered,5.0,668.59,0.38538274671825956,0,2.8325,3.2178827467182596
250.99,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,no,delivered,4.0,1287.23,2.2408193769923006,1,6.113157894736842,8.353977271729143
250.99,ecom express,electronics,scooter,express,east,cold,87.7,22.38,yes,failed,2.0,555.64,0.1788541063830431,0,2.505714285714286,2.684568392097329
250.99,dhl,furniture,van,same day,east,rainy,90.1,27.46,no,delivered,4.0,632.88,0.8416598693676067,1,3.003333333333333,3.8449932027009397
250.99,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,yes,delayed,2.0,736.82,0.6052908075142902,1,2.7600000000000002,3.3652908075142904
250.99,fedex,documents,bike,same day,central,cold,217.3,3.03,no,delivered,5.0,1195.59,0.24106407361846305,0,5.4325,5.673564073618463
250.99,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,no,delivered,3.0,460.75,0.6498586816525238,1,3.008,3.657858681652524
250.99,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,no,delivered,5.0,173.54,0.49193728572926443,0,0.6105263157894737,1.1024636015187381
250.99,fedex,documents,ev van,express,north,rainy,78.5,27.87,yes,delayed,3.0,526.11,0.49389504540987117,0,2.8035714285714284,3.2974664739812996
250.99,blue dart,documents,van,express,north,hot,138.3,47.87,yes,delayed,3.0,885.11,0.6998930967442023,1,4.61,5.309893096744203
250.99,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,no,delivered,4.0,599.99,-0.4774435312269234,0,3.8560000000000003,3.378556468773077
250.99,fedex,furniture,ev van,standard,west,cold,216.2,23.93,no,delivered,4.0,1152.79,0.8642850370268542,1,7.721428571428571,8.585713608455425
250.99,ekart,clothing,van,express,south,stormy,24.1,34.1,yes,delayed,3.0,272.8,0.26711412047145144,0,0.8033333333333333,1.0704474538047848
